canonical_code,linked_codes,anio,version_ano,estado_documental,idioma_documental,file_name,format,relative_path,github_blob_url,github_raw_url,repository_preview_url,drive_file_id,drive_preview_url,drive_download_url,drive_open_url,notes
PR-SS-MSC,PR-SS-MSC,2021,v01 (2021),Obsoleto,ES,210414 PR-SS-MSC - Programa de Manejo Social v01.docx,docx,PROGRAMAS_FICHAS_CSS/Obsoletos/210414 PR-SS-MSC - Programa de Manejo Social v01.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/Obsoletos/210414%20PR-SS-MSC%20-%20Programa%20de%20Manejo%20Social%20v01.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/Obsoletos/210414%20PR-SS-MSC%20-%20Programa%20de%20Manejo%20Social%20v01.docx,,,,,,
PR-SS-MSC,PR-SS-MSC,2021,v01 (2021),Obsoleto,EN,210414 PR-SS-MSC - Social Management Program v01.docx,docx,PROGRAMAS_FICHAS_CSS/Obsoletos/INGLÉS/OBSOLETOS/210414 PR-SS-MSC - Social Management Program v01.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/Obsoletos/INGL%C3%89S/OBSOLETOS/210414%20PR-SS-MSC%20-%20Social%20Management%20Program%20v01.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/Obsoletos/INGL%C3%89S/OBSOLETOS/210414%20PR-SS-MSC%20-%20Social%20Management%20Program%20v01.docx,,,,,,
PR-SS-MSC,PR-SS-MSC,2022,v02 (2022),Obsoleto,EN,220104 PR-SS-MSC - Programa de Manejo Social v02.docx,docx,PROGRAMAS_FICHAS_CSS/Obsoletos/INGLÉS/220104 PR-SS-MSC - Programa de Manejo Social v02.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/Obsoletos/INGL%C3%89S/220104%20PR-SS-MSC%20-%20Programa%20de%20Manejo%20Social%20v02.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/Obsoletos/INGL%C3%89S/220104%20PR-SS-MSC%20-%20Programa%20de%20Manejo%20Social%20v02.docx,,,,,,
PR-SS-MSC,PR-SS-MSC,2023,v03 (2023),Vigente,ES,230528 PR-SS-MSC - Programa de Manejo Social v03.pdf,pdf,PROGRAMAS_FICHAS_CSS/PDF/230528 PR-SS-MSC - Programa de Manejo Social v03.pdf,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/PDF/230528%20PR-SS-MSC%20-%20Programa%20de%20Manejo%20Social%20v03.pdf,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/PDF/230528%20PR-SS-MSC%20-%20Programa%20de%20Manejo%20Social%20v03.pdf,https://docs.google.com/gview?embedded=1&url=https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/PDF/230528%20PR-SS-MSC%20-%20Programa%20de%20Manejo%20Social%20v03.pdf,,,,,
PR-SS-MSC,PR-SS-MSC,2023,v03 (2023),Vigente,ES,230528 PR-SS-MSC - Programa de Manejo Social v03.docx,docx,PROGRAMAS_FICHAS_CSS/Obsoletos/230528 PR-SS-MSC - Programa de Manejo Social v03.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/Obsoletos/230528%20PR-SS-MSC%20-%20Programa%20de%20Manejo%20Social%20v03.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/Obsoletos/230528%20PR-SS-MSC%20-%20Programa%20de%20Manejo%20Social%20v03.docx,,,,,,
PR-SS-MSC,PR-SS-MSC,2024,v04 (2024),Obsoleto,ES,240404 PR-SS-MSC - Programa de Manejo Social v04.docx,docx,PROGRAMAS_FICHAS_CSS/Obsoletos/240404 PR-SS-MSC - Programa de Manejo Social v04.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/Obsoletos/240404%20PR-SS-MSC%20-%20Programa%20de%20Manejo%20Social%20v04.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/Obsoletos/240404%20PR-SS-MSC%20-%20Programa%20de%20Manejo%20Social%20v04.docx,,,,,,
PR-SS-MSC,PR-SS-MSC,2025,v05 (2025),Vigente,ES,250721 PR-SS-MSC - Programa de Manejo Social v05.docx,docx,PROGRAMAS_FICHAS_CSS/250721 PR-SS-MSC - Programa de Manejo Social v05.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/250721%20PR-SS-MSC%20-%20Programa%20de%20Manejo%20Social%20v05.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/250721%20PR-SS-MSC%20-%20Programa%20de%20Manejo%20Social%20v05.docx,,,,,,
PR-SS-MSO,PR-SS-MSO,2021,v01 (2021),Obsoleto,ES,210414 PR-SS-MSO - Programa de Monitoreo Social v01.docx,docx,PROGRAMAS_FICHAS_CSS/Obsoletos/210414 PR-SS-MSO - Programa de Monitoreo Social v01.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/Obsoletos/210414%20PR-SS-MSO%20-%20Programa%20de%20Monitoreo%20Social%20v01.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/Obsoletos/210414%20PR-SS-MSO%20-%20Programa%20de%20Monitoreo%20Social%20v01.docx,,,,,,
PR-SS-MSO,PR-SS-MSO,2021,v01 (2021),Obsoleto,EN,210414 PR-SS-MSO - Social Monitoring Program v01.docx,docx,PROGRAMAS_FICHAS_CSS/Obsoletos/INGLÉS/OBSOLETOS/210414 PR-SS-MSO - Social Monitoring Program v01.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/Obsoletos/INGL%C3%89S/OBSOLETOS/210414%20PR-SS-MSO%20-%20Social%20Monitoring%20Program%20v01.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/Obsoletos/INGL%C3%89S/OBSOLETOS/210414%20PR-SS-MSO%20-%20Social%20Monitoring%20Program%20v01.docx,,,,,,
PR-SS-MSO,PR-SS-MSO,2022,v02 (2022),Obsoleto,EN,220104 PR-SS-MSO - Programa de Monitoreo Social v02.docx,docx,PROGRAMAS_FICHAS_CSS/Obsoletos/INGLÉS/220104 PR-SS-MSO - Programa de Monitoreo Social v02.docx,https://github.com/monitorimpactosocial/programas_y_finas_CSS/blob/main/PROGRAMAS_FICHAS_CSS/Obsoletos/INGL%C3%89S/220104%20PR-SS-MSO%20-%20Programa%20de%20Monitoreo%20Social%20v02.docx,https://raw.githubusercontent.com/monitorimpactosocial/programas_y_finas_CSS/main/PROGRAMAS_FICHAS_CSS/Obsoletos/INGL%C3%89S/220104%20PR-SS-MSO%20-%20Programa%20de%20Monitoreo%20Social%20v02.docx,,,,,,
